"Title: Population Distribution by Citizenship Status | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Citizen","2010__Non-Citizen","2010__Total","2011__Citizen","2011__Non-Citizen","2011__Total","2012__Citizen","2012__Non-Citizen","2012__Total","2013__Citizen","2013__Non-Citizen","2013__Total","2014__Citizen","2014__Non-Citizen","2014__Total","2015__Citizen","2015__Non-Citizen","2015__Total","2016__Citizen","2016__Non-Citizen","2016__Total","2017__Citizen","2017__Non-Citizen","2017__Total","2018__Citizen","2018__Non-Citizen","2018__Total","2019__Citizen","2019__Non-Citizen","2019__Total",Footnotes
"United States","278709000","22097200","300806200","281272400","21808300","303080600","283658600","21718000","305376600","285879600","21626000","307505500","288340900","21871300","310212200","290749100","22028900","312777900","292450300","22016100","314466400","294959400","22063200","317022500","296802900","21695500","318498500","297958500","21290900","319249300","1"
"Alabama","4531400","120000","4651400","4572100","103900","4676000","4592300","103700","4696000","4609500","96300","4705800","4614800","99300","4714100","4631000","99000","4730100","4636500","93600","4730100","4634800","106600","4741400","4658700","93900","4752600","4671000","96000","4767100"
"Alaska","661800","22800","684600","677000","20100","697100","683100","23200","706200","687100","18000","705100","682500","24100","706600","680200","27400","707500","693700","21200","714900","685500","24700","710100","689300","19800","709100","681200","20500","701700"
"Arizona","5720700","536200","6256900","5800800","523700","6324500","5864000","522300","6386300","5935700","530000","6465700","6015800","540500","6556200","6143000","512100","6655100","6230900","530000","6760900","6322100","519200","6841300","6488000","516200","7004300","6572400","525600","7098000"
"Arkansas","2740600","93400","2834000","2765200","84200","2849500","2776200","84000","2860200","2779000","89600","2868600","2778000","101900","2880000","2785700","96600","2882300","2808600","86800","2895400","2815100","94900","2910000","2824700","96600","2921300","2828400","94000","2922500"
"California","31079400","5436300","36515700","31493000","5369900","36862800","31900000","5321400","37221500","32294500","5216800","37511300","32706700","5274800","37981600","33036100","5289100","38325100","33205200","5237200","38442400","33655700","5058200","38713900","33789100","4956700","38745900","33802700","4840100","38642700"
"Colorado","4612600","303500","4916200","4673700","310200","4983900","4740800","305100","5045900","4829900","300200","5130200","4906800","310300","5217000","4991400","324000","5315400","5078800","319200","5398100","5151900","309200","5461100","5250500","304700","5555200","5341200","270600","5611800"
"Connecticut","3221200","242500","3463700","3230900","235500","3466400","3226900","252400","3479300","3229900","249100","3479000","3228600","251800","3480400","3220700","257300","3478100","3225500","239600","3465100","3228500","250200","3478700","3224300","242100","3466300","3218600","234700","3453300"
"Delaware","835900","35800","871700","838500","41500","880100","847600","40400","888000","859200","39300","898500","864000","41300","905300","867700","50600","918300","879300","45000","924300","885800","45900","931700","889800","47900","937700","891300","49000","940300"
"District of Columbia","522600","47500","570200","533200","50700","583900","542900","53000","596000","552700","57600","610300","569400","54100","623500","585100","49700","634800","597200","47100","644400","596900","60700","657600","618400","49400","667900","630600","40700","671300"
"Florida","16532000","1866800","18398800","16776700","1837500","18614200","17059500","1817400","18876900","17343000","1750200","19093200","17606900","1824100","19431100","17959200","1853300","19812500","18265300","1878700","20144000","18602800","1929500","20532300","18944400","1899100","20843500","19087100","1905000","20992000"
"Georgia","8814300","600300","9414700","8958900","558500","9517400","9041500","574800","9616400","9114900","576000","9690900","9228200","564600","9792900","9327900","581800","9909700","9407500","593500","10001000","9536300","585200","10121400","9639500","573300","10212800","9721300","572800","10294000"
"Hawaii","1197400","104200","1301600","1202000","109800","1311900","1223600","106700","1330300","1229800","101700","1331500","1248800","99300","1348100","1259400","103200","1362600","1252700","111900","1364600","1255600","100500","1356100","1246600","108200","1354800","1239300","103700","1343000"
"Idaho","1480400","58500","1538900","1481900","65400","1547300","1508100","54300","1562500","1519600","61300","1580900","1534400","64500","1598800","1555800","61400","1617200","1593600","57100","1650700","1628400","53800","1682100","1661000","58700","1719600","1699800","51100","1750900"
"Illinois","11551000","985400","12536400","11604100","949700","12553800","11621300","946600","12567900","11635900","935200","12571100","11713000","856400","12569400","11622700","927100","12549700","11613900","877300","12491200","11608500","888100","12496600","11571600","866700","12438400","11562200","800200","12362300"
"Indiana","6101900","187400","6289300","6128200","188900","6317100","6148400","190400","6338800","6168500","198000","6366500","6195600","191100","6386700","6232400","182700","6415100","6231000","200400","6431400","6250000","209400","6459400","6279200","207900","6487100","6309000","202800","6511800"
"Iowa","2865500","82700","2948200","2885300","78400","2963800","2897000","79100","2976000","2896900","93400","2990300","2911300","90800","3002100","2934500","85300","3019800","2936000","94400","3030400","2952100","93500","3045600","2949000","107800","3056800","2972600","87600","3060200"
"Kansas","2639000","121900","2761000","2651700","120400","2772200","2673200","114300","2787500","2675100","121500","2796500","2687900","122800","2810700","2683000","133700","2816600","2691100","125900","2817000","2702900","114600","2817600","2695800","118900","2814700","2693000","118200","2811200"
"Kentucky","4115900","91200","4207100","4139000","88900","4227900","4150200","84900","4235100","4171800","89100","4260900","4167900","101000","4268800","4180100","103300","4283400","4200300","87300","4287700","4204100","102900","4307100","4222500","97900","4320300","4211500","107800","4319300"
"Louisiana","4299500","100900","4400400","4332500","98700","4431200","4361400","95700","4457000","4386500","96700","4483200","4403400","105100","4508500","4423100","107200","4530300","4424300","106200","4530500","4433400","108200","4541500","4410700","108600","4519300","4393100","105500","4498600"
"Maine","1271400","19200","1290600","1274100","18100","1292200","1271800","20800","1292600","1274800","17100","1291900","1271100","22700","1293800","1275600","17000","1292600","1271900","21800","1293800","1280800","19400","1300200","1278200","21200","1299500","1284300","18100","1302300"
"Maryland","5182600","439600","5622200","5239600","429100","5668600","5281200","441500","5722700","5354200","413300","5767500","5375300","444000","5819300","5388000","450300","5838300","5406600","449900","5856500","5452000","440900","5892900","5455800","415000","5870800","5445600","429900","5875500"
"Massachusetts","5834400","494000","6328400","5895000","465600","6360600","5937000","473600","6410600","5967800","483700","6451500","6018800","487700","6506500","6044000","511600","6555600","6057100","513500","6570600","6092200","528400","6620600","6126200","533700","6659900","6122600","528200","6650800"
"Michigan","9365400","292200","9657600","9363800","291200","9655100","9372900","286500","9659300","9370900","293500","9664300","9376500","306200","9682700","9398000","295800","9693800","9380700","312800","9693500","9382700","337700","9720300","9454600","315500","9770000","9465000","300600","9765600"
"Minnesota","4972900","214600","5187500","5012600","209700","5222300","5050600","205700","5256300","5096500","191300","5287800","5118100","212200","5330400","5139200","226400","5365600","5183400","209500","5392900","5230700","215900","5446600","5270900","218000","5489000","5325400","189300","5514800"
"Mississippi","2826500","40700","2867200","2838300","40200","2878500","2852600","32000","2884500","2854200","34900","2889200","2850900","35900","2886800","2848500","40800","2889300","2855000","32400","2887300","2854200","30200","2884500","2837800","41500","2879400","2833500","33600","2867100"
"Missouri","5672900","129200","5802000","5677500","146000","5823500","5703200","127400","5830600","5731900","121200","5853100","5757200","113100","5870200","5768100","122800","5890900","5772500","125600","5898000","5799900","121400","5921300","5808300","126200","5934500","5817300","122600","5939900"
"Montana","955300","7600","962800","960400","11300","971600","972300","6500","978700","978400","7900","986300","982300","11400","993700","996900","9000","1005900","1004000","11100","1015100","1011600","11000","1022600","1024800","9200","1034000","1029400","10000","1039400"
"Nebraska","1705800","65200","1771000","1715400","66900","1782300","1717700","77400","1795100","1742200","69000","1811200","1749300","74400","1823700","1766600","71800","1838400","1756000","89000","1845000","1773400","85800","1859200","1787600","81300","1868900","1788700","84900","1873600"
"Nevada","2365500","292100","2657600","2372800","302900","2675800","2417900","293000","2710900","2470800","274600","2745400","2504500","290800","2795200","2550200","292500","2842700","2585000","305400","2890400","2646600","3.00E+05","2946600","2693600","2.90E+05","2983400","2725300","3.04E+05","3029700"
"New Hampshire","1243500","32500","1276000","1246000","32200","1278200","1244000","36100","1280100","1249000","31700","1280700","1252500","34100","1286500","1254300","33300","1287600","1257400","33900","1291300","1258500","38500","1297000","1280900","29400","1310300","1277200","36800","1314000"
"New Jersey","7706400","914000","8620400","7734200","904600","8638700","7791500","893900","8685500","7817600","899300","8716900","7883800","872300","8756200","7909000","867300","8776300","7867400","895300","8762700","7919900","904000","8823900","7895700","832700","8728300","7846800","852600","8699400"
"New Mexico","1884400","133600","2018000","1901800","134700","2036500","1913900","125300","2039200","1903600","136600","2040200","1904800","131900","2036700","1911400","123900","2035300","1916000","113300","2029400","1931300","106900","2038200","1930500","114800","2045300","1939800","101600","2041400"
"New York","16809900","2050100","18860000","16925900","2014600","18940500","16991200","2048900","19040100","17131900","1987700","19119600","17225300","1991100","19216400","17296000","1973200","19269200","17225100","1996400","19221500","17376500","1939100","19315700","17194100","1822800","19016900","17175600","1732700","18908300"
"North Carolina","8742800","498300","9241100","8885800","467300","9353100","8928000","511200","9439200","9023900","498600","9522500","9144400","488500","9632900","9244400","489300","9733700","9371600","458400","9829900","9450000","498700","9948800","9553000","491400","10044400","9641600","498100","10139700"
"North Dakota","639100","8100","647200","645800","11300","657100","659600","12300","671900","680700","12800","693500","690800","17600","708400","715200","11200","726400","712600","13300","725900","707800","18200","726000","710300","20300","730600","716300","14600","731000"
"Ohio","10985700","229900","11215700","11000700","223900","11224600","11007500","214600","11222100","11009200","230400","11239600","11036600","233700","11270300","11048100","245200","11293300","11051200","227500","11278700","11078400","245200","11323500","11108900","247000","11355900","11101400","250100","11351500"
"Oklahoma","3493100","142300","3635500","3531800","133000","3664800","3546400","143100","3689500","3584100","142900","3726900","3602700","146800","3749500","3636000","147700","3783700","3664000","136800","3800800","3663700","140100","3803700","3672900","143200","3816100","3687600","139400","3826900"
"Oregon","3534600","229300","3764000","3569000","224500","3793500","3610300","215200","3825500","3609400","242200","3851600","3664800","224800","3889600","3731300","217400","3948700","3803100","211400","4014500","3847600","215400","4063000","3887000","223800","4110800","3917000","211800","4128900"
"Pennsylvania","11936800","357000","12293700","11969600","348700","12318300","11992200","355400","12347600","11962600","381700","12344300","11993600","374400","12368000","12009500","376900","12386400","11977900","386800","12364700","11987300","401800","12389100","11975900","412200","12388100","11991800","385900","12377600"
"Rhode Island","944600","64500","1009200","940700","66600","1007400","939000","68900","1007900","942200","66400","1008600","949500","64200","1013700","950200","64100","1014400","948700","65200","1013900","954100","61800","1015900","959000","54900","1014000","957900","59200","1017100"
"South Carolina","4332100","144400","4476500","4374400","145100","4519500","4432900","136100","4569100","4480900","135300","4616200","4540400","134000","4674300","4596600","137400","4734000","4662800","142500","4805300","4732300","132400","4864600","4789300","140500","4929800","4825200","159000","4984200"
"South Dakota","775600","11400","787000","776700","14600","791400","788100","12400","800400","797000","14600","811600","810100","11500","821600","811500","17500","829000","816500","19300","835800","820900","16100","837000","833800","14900","848700","833800","17500","851300"
"Tennessee","5996800","189400","6186200","6036600","193900","6230500","6099800","177600","6277400","6130400","188200","6318700","6169500","205300","6374800","6222600","200100","6422800","6262300","205400","6467700","6330900","207200","6538200","6375300","211200","6586400","6428500","212500","6640900"
"Texas","21819700","2764700","24584400","22234500","2771600","25006100","22641100","2743300","25384300","22951000","2822100","25773000","23402100","2878000","26280100","23861300","2916200","26777500","24252100","2926300","27178300","24619400","3001800","27621300","25009100","3015000","28024000","25339800","2946400","28286200"
"Utah","2569100","155000","2724100","2613900","153600","2767500","2652900","148800","2801700","2703300","146200","2849400","2738300","153500","2891800","2800600","144600","2945200","2850600","148800","2999300","2885100","162300","3047400","2946200","159700","3105900","2998800","155200","3154100"
"Vermont","589000","10400","599500","590800","9000","599800","591400","9300","600700","592000","10700","602700","588900","11100","600000","591200","11200","602400","591900","7700","599600","586400","13800","600200","589700","10900","600600","588100","10000","598100"
"Virginia","7219400","484500","7703800","7311400","472300","7783700","7380000","485500","7865500","7470900","474800","7945700","7489800","516100","8006000","7568400","482800","8051200","7597700","483200","8080900","7646600","494100","8140700","7697200","484900","8182100","7691700","493400","8185100"
"Washington","6097800","478100","6575900","6156100","498200","6654400","6256600","476300","6732900","6299200","498600","6797800","6393300","494300","6887600","6492700","510100","7002800","6593200","530900","7124100","6693700","546100","7239800","6807500","560600","7368000","6832000","591900","7423900"
"West Virginia","1787500","11500","1799000","1791500","10700","1802200","1790200","11600","1801800","1785500","12600","1798200","1778900","12700","1791600","1778200","13300","1791500","1764900","16800","1781700","1749300","12900","1762100","1740800","11500","1752300","1727200","11800","1739000"
"Wisconsin","5386100","147200","5533400","5400600","149300","5549900","5418300","147800","5566100","5436100","156500","5592500","5460100","143500","5603600","5468700","152200","5620900","5462500","160800","5623300","5494800","148100","5643000","5505400","157500","5662800","5524000","153100","5677100"
"Wyoming","538800","9500","548400","540300","11300","551600","548600","10300","559000","557500","9800","567300","552900","15600","568500","557700","11200","568900","557000","12400","569400","550500","12800","563300","549600","10800","560300","553300","9400","562700"
"Puerto Rico","3620900","63100","3684000","3607600","64100","3671700","3577100","57000","3634000","3530900","51100","3582000","3461900","52100","3514000","3390300","52900","3443200","3333300","45800","3379100","3261800","43000","3304800","3124400","40000","3164400","3120600","43900","3164500"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.   "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
